candidate_id,silver_label
CAND_0000000,0
CAND_0000001,0
CAND_0000002,0
CAND_0000003,2
CAND_0000004,3
CAND_0000005,3
CAND_0000006,2
CAND_0000007,0
CAND_0000008,0
CAND_0000009,2
CAND_0000010,3
CAND_0000011,2
CAND_0000012,0
CAND_0000013,0
CAND_0000014,3
CAND_0000015,0
CAND_0000016,0
CAND_0000017,2
CAND_0000018,0
CAND_0000019,3
CAND_0000020,2
CAND_0000021,3
CAND_0000022,1
CAND_0000023,2
CAND_0000024,2
CAND_0000025,3
CAND_0000026,2
CAND_0000027,0
CAND_0000028,2
CAND_0000029,0
CAND_0000030,0
CAND_0000031,2
CAND_0000032,1
CAND_0000033,2
CAND_0000034,2
CAND_0000035,1
CAND_0000036,0
CAND_0000037,2
CAND_0000038,3
CAND_0000039,1
CAND_0000040,1
CAND_0000041,3
CAND_0000042,1
CAND_0000043,0
CAND_0000044,0
CAND_0000045,0
CAND_0000046,1
CAND_0000047,3
CAND_0000048,2
CAND_0000049,1
CAND_0000050,3
CAND_0000051,2
CAND_0000052,3
CAND_0000053,1
CAND_0000054,3
CAND_0000055,0
CAND_0000056,0
CAND_0000057,2
CAND_0000058,1
CAND_0000059,2
CAND_0000060,0
CAND_0000061,1
CAND_0000062,0
CAND_0000063,1
CAND_0000064,1
CAND_0000065,0
CAND_0000066,2
CAND_0000067,2
CAND_0000068,0
CAND_0000069,2
CAND_0000070,0
CAND_0000071,3
CAND_0000072,1
CAND_0000073,2
CAND_0000074,2
CAND_0000075,2
CAND_0000076,2
CAND_0000077,3
CAND_0000078,3
CAND_0000079,1
CAND_0000080,3
CAND_0000081,1
CAND_0000082,1
CAND_0000083,1
CAND_0000084,2
CAND_0000085,3
CAND_0000086,2
CAND_0000087,2
CAND_0000088,3
CAND_0000089,0
CAND_0000090,0
CAND_0000091,3
CAND_0000092,2
CAND_0000093,2
CAND_0000094,2
CAND_0000095,0
CAND_0000096,3
CAND_0000097,1
CAND_0000098,0
CAND_0000099,2
CAND_0000100,0
CAND_0000101,0
CAND_0000102,2
CAND_0000103,3
CAND_0000104,2
CAND_0000105,3
CAND_0000106,2
CAND_0000107,3
CAND_0000108,1
CAND_0000109,1
CAND_0000110,3
CAND_0000111,3
CAND_0000112,1
CAND_0000113,1
CAND_0000114,1
CAND_0000115,1
CAND_0000116,3
CAND_0000117,0
CAND_0000118,2
CAND_0000119,2
CAND_0000120,1
CAND_0000121,1
CAND_0000122,3
CAND_0000123,3
CAND_0000124,0
CAND_0000125,2
CAND_0000126,3
CAND_0000127,3
CAND_0000128,3
CAND_0000129,2
CAND_0000130,3
CAND_0000131,3
CAND_0000132,0
CAND_0000133,1
CAND_0000134,3
CAND_0000135,2
CAND_0000136,3
CAND_0000137,3
CAND_0000138,1
CAND_0000139,0
CAND_0000140,1
CAND_0000141,2
CAND_0000142,2
CAND_0000143,0
CAND_0000144,1
CAND_0000145,2
CAND_0000146,0
CAND_0000147,1
CAND_0000148,0
CAND_0000149,0
CAND_0000150,2
CAND_0000151,0
CAND_0000152,1
CAND_0000153,3
CAND_0000154,0
CAND_0000155,2
CAND_0000156,3
CAND_0000157,0
CAND_0000158,3
CAND_0000159,2
CAND_0000160,3
CAND_0000161,3
CAND_0000162,0
CAND_0000163,1
CAND_0000164,1
CAND_0000165,1
CAND_0000166,3
CAND_0000167,2
CAND_0000168,2
CAND_0000169,1
CAND_0000170,2
CAND_0000171,2
CAND_0000172,2
CAND_0000173,1
CAND_0000174,2
CAND_0000175,2
CAND_0000176,0
CAND_0000177,1
CAND_0000178,0
CAND_0000179,2
CAND_0000180,2
CAND_0000181,1
CAND_0000182,3
CAND_0000183,2
CAND_0000184,2
CAND_0000185,0
CAND_0000186,1
CAND_0000187,1
CAND_0000188,1
CAND_0000189,1
CAND_0000190,1
CAND_0000191,2
CAND_0000192,0
CAND_0000193,2
CAND_0000194,2
CAND_0000195,1
CAND_0000196,1
CAND_0000197,1
CAND_0000198,0
CAND_0000199,0
CAND_0000200,3
CAND_0000201,2
CAND_0000202,1
CAND_0000203,1
CAND_0000204,1
CAND_0000205,0
CAND_0000206,0
CAND_0000207,3
CAND_0000208,1
CAND_0000209,2
CAND_0000210,1
CAND_0000211,3
CAND_0000212,1
CAND_0000213,0
CAND_0000214,3
CAND_0000215,0
CAND_0000216,3
CAND_0000217,2
CAND_0000218,2
CAND_0000219,2
CAND_0000220,3
CAND_0000221,3
CAND_0000222,0
CAND_0000223,2
CAND_0000224,1
CAND_0000225,2
CAND_0000226,2
CAND_0000227,0
CAND_0000228,0
CAND_0000229,1
CAND_0000230,1
CAND_0000231,1
CAND_0000232,1
CAND_0000233,3
CAND_0000234,3
CAND_0000235,0
CAND_0000236,0
CAND_0000237,1
CAND_0000238,0
CAND_0000239,0
CAND_0000240,1
CAND_0000241,1
CAND_0000242,1
CAND_0000243,0
CAND_0000244,1
CAND_0000245,2
CAND_0000246,1
CAND_0000247,2
CAND_0000248,0
CAND_0000249,0
CAND_0000250,1
CAND_0000251,3
CAND_0000252,1
CAND_0000253,2
CAND_0000254,0
CAND_0000255,0
CAND_0000256,3
CAND_0000257,2
CAND_0000258,2
CAND_0000259,2
CAND_0000260,1
CAND_0000261,0
CAND_0000262,0
CAND_0000263,2
CAND_0000264,3
CAND_0000265,1
CAND_0000266,1
CAND_0000267,1
CAND_0000268,0
CAND_0000269,0
CAND_0000270,3
CAND_0000271,2
CAND_0000272,3
CAND_0000273,1
CAND_0000274,0
CAND_0000275,0
CAND_0000276,2
CAND_0000277,3
CAND_0000278,1
CAND_0000279,2
CAND_0000280,3
CAND_0000281,2
CAND_0000282,3
CAND_0000283,3
CAND_0000284,0
CAND_0000285,2
CAND_0000286,2
CAND_0000287,3
CAND_0000288,0
CAND_0000289,0
CAND_0000290,0
CAND_0000291,0
CAND_0000292,0
CAND_0000293,3
CAND_0000294,2
CAND_0000295,2
CAND_0000296,3
CAND_0000297,1
CAND_0000298,2
CAND_0000299,2
CAND_0000300,1
CAND_0000301,0
CAND_0000302,3
CAND_0000303,1
CAND_0000304,2
CAND_0000305,3
CAND_0000306,0
CAND_0000307,2
CAND_0000308,2
CAND_0000309,2
CAND_0000310,3
CAND_0000311,3
CAND_0000312,3
CAND_0000313,2
CAND_0000314,3
CAND_0000315,0
CAND_0000316,0
CAND_0000317,1
CAND_0000318,0
CAND_0000319,0
CAND_0000320,0
CAND_0000321,2
CAND_0000322,3
CAND_0000323,2
CAND_0000324,0
CAND_0000325,0
CAND_0000326,2
CAND_0000327,2
CAND_0000328,1
CAND_0000329,3
CAND_0000330,0
CAND_0000331,0
CAND_0000332,1
CAND_0000333,0
CAND_0000334,0
CAND_0000335,1
CAND_0000336,2
CAND_0000337,3
CAND_0000338,1
CAND_0000339,0
CAND_0000340,1
CAND_0000341,2
CAND_0000342,1
CAND_0000343,2
CAND_0000344,0
CAND_0000345,0
CAND_0000346,2
CAND_0000347,0
CAND_0000348,3
CAND_0000349,1
CAND_0000350,1
CAND_0000351,0
CAND_0000352,1
CAND_0000353,0
CAND_0000354,1
CAND_0000355,1
CAND_0000356,1
CAND_0000357,3
CAND_0000358,1
CAND_0000359,1
CAND_0000360,1
CAND_0000361,0
CAND_0000362,1
CAND_0000363,2
CAND_0000364,2
CAND_0000365,0
CAND_0000366,3
CAND_0000367,2
CAND_0000368,2
CAND_0000369,0
CAND_0000370,0
CAND_0000371,1
CAND_0000372,1
CAND_0000373,2
CAND_0000374,2
CAND_0000375,1
CAND_0000376,2
CAND_0000377,3
CAND_0000378,3
CAND_0000379,1
CAND_0000380,2
CAND_0000381,0
CAND_0000382,0
CAND_0000383,2
CAND_0000384,0
CAND_0000385,3
CAND_0000386,3
CAND_0000387,1
CAND_0000388,1
CAND_0000389,0
CAND_0000390,2
CAND_0000391,2
CAND_0000392,2
CAND_0000393,2
CAND_0000394,2
CAND_0000395,0
CAND_0000396,3
CAND_0000397,0
CAND_0000398,0
CAND_0000399,3
CAND_0000400,1
CAND_0000401,1
CAND_0000402,3
CAND_0000403,3
CAND_0000404,1
CAND_0000405,0
CAND_0000406,1
CAND_0000407,1
CAND_0000408,1
CAND_0000409,3
CAND_0000410,0
CAND_0000411,1
CAND_0000412,1
CAND_0000413,2
CAND_0000414,1
CAND_0000415,2
CAND_0000416,3
CAND_0000417,2
CAND_0000418,0
CAND_0000419,2
CAND_0000420,1
CAND_0000421,3
CAND_0000422,3
CAND_0000423,3
CAND_0000424,3
CAND_0000425,2
CAND_0000426,1
CAND_0000427,1
CAND_0000428,0
CAND_0000429,3
CAND_0000430,2
CAND_0000431,1
CAND_0000432,3
CAND_0000433,2
CAND_0000434,2
CAND_0000435,2
CAND_0000436,3
CAND_0000437,0
CAND_0000438,3
CAND_0000439,0
CAND_0000440,0
CAND_0000441,2
CAND_0000442,2
CAND_0000443,1
CAND_0000444,3
CAND_0000445,1
CAND_0000446,3
CAND_0000447,0
CAND_0000448,3
CAND_0000449,2
CAND_0000450,0
CAND_0000451,1
CAND_0000452,0
CAND_0000453,1
CAND_0000454,3
CAND_0000455,3
CAND_0000456,2
CAND_0000457,0
CAND_0000458,1
CAND_0000459,1
CAND_0000460,0
CAND_0000461,3
CAND_0000462,3
CAND_0000463,2
CAND_0000464,3
CAND_0000465,1
CAND_0000466,1
CAND_0000467,2
CAND_0000468,3
CAND_0000469,1
CAND_0000470,0
CAND_0000471,2
CAND_0000472,0
CAND_0000473,0
CAND_0000474,3
CAND_0000475,0
CAND_0000476,0
CAND_0000477,0
CAND_0000478,3
CAND_0000479,3
CAND_0000480,3
CAND_0000481,3
CAND_0000482,1
CAND_0000483,1
CAND_0000484,3
CAND_0000485,2
CAND_0000486,3
CAND_0000487,1
CAND_0000488,2
CAND_0000489,0
CAND_0000490,1
CAND_0000491,2
CAND_0000492,3
CAND_0000493,1
CAND_0000494,3
CAND_0000495,2
CAND_0000496,0
CAND_0000497,0
CAND_0000498,3
CAND_0000499,0
